ss,sex,age,bp_index,bp_trial1,bp_intrusions,verbgen_ir,ospan,rspan,num_series,rapm,gen_know,text_comp,shipley_vocab
8473,1,23,0.3,0.5,0,1052,0.786666667,0.466666667,NA,0,NA,NA,NA
8484,1,19,0.34,0.75,2,428,0.973333333,1,0.8,0.555555556,0.666666667,0.933333333,0.9
8524,2,18,0.4,1,1,29,0.76,0.84,0.8,0.388888889,0.416666667,0.6,0.675
8525,2,26,0.63,0.55,4,-245,0.346666667,0.44,0.6,0.5,0.583333333,0.866666667,0.9
8595,2,18,0.77,0.65,4,1445,0.733333333,0.226666667,0.4,0,0.583333333,0.4,0.65
8598,1,19,0.5,0.7,4,2782,0.88,0.893333333,NA,0.5,NA,NA,NA
8725,1,19,0.166666667,0.6,1,1212.5,0.96,0.88,0.6,0.666666667,0.541666667,0.666666667,0.8
8793,1,21,0.375,0.8,3,1330,0.706666667,0.706666667,0.47,0.555555556,0.583333333,0.6,0.75
8819,2,26,0.79,0.7,1,663,0.6,0.453333333,0.47,0.222222222,0.125,0,0.5
8872,1,26,0.461538462,0.65,1,1502,0.973333333,0.573333333,0.67,0.611111111,0.416666667,0.533333333,0.775
9001,2,28,0.35,0.55,2,412,0.546666667,0.48,0.2,0.333333333,0.458333333,0.666666667,0.75
9034,1,18,0.5,0.7,1,275,0.84,0.746666667,0.53,0.444444444,0.291666667,0.266666667,0.65
9076,1,19,0.461538462,0.65,4,1181,0.96,1,0.93,0.833333333,0.416666667,0.533333333,0.75
9119,1,23,0.4,0.85,0,98,0.96,0.933333333,NA,0.666666667,NA,NA,NA
9224,2,19,0.29,0.85,4,562,0.973333333,0.96,0.87,0.888888889,0.666666667,1,0.875
9296,2,19,0.19,0.6,3,260,0.84,0.76,0.27,0.444444444,0.333333333,0.333333333,0.575
9304,1,17,0.6875,0.8,0,1820.5,0.88,0.786666667,0.53,0.722222222,0.583333333,0.6,0.75
9353,2,21,0.6,0.65,6,-44,NA,NA,0.53,0.5,0.541666667,0.4,0.675
9405,2,21,0.5,0.6,1,255,0.773333333,0.306666667,0.53,0.277777778,0.791666667,0.466666667,0.725
9445,2,18,0.63,0.65,1,-83,0.92,0.773333333,0.6,0.333333333,0.208333333,0.333333333,0.55
9513,1,45,0.56,0.75,5,-467,0.88,0.813333333,0.4,0.611111111,0.791666667,0.533333333,0.775
9564,2,19,0.58,0.6,4,283,0.733333333,0.573333333,0.4,0.611111111,0.416666667,0.2,0.55
9639,1,27,0.4,0.75,0,186,0.906666667,0.96,NA,0.666666667,NA,NA,NA
9689,1,24,0.33,0.75,1,702,0.96,0.946666667,0.8,0.611111111,0.583333333,0.666666667,0.8
9876,1,19,0.5,0.7,1,854,0.653333333,0.733333333,0.6,0.444444444,0.791666667,0.533333333,0.775
